week,semana_plan,fase,plan_run_km,planned_run_sessions,planned_quality_sessions,planned_long_run_km,plan_football_days,phase_summer_running_only,vol_objetivo_min,vol_objetivo_max,plan_vol_objetivo_km,expected_football_week
2026-04-05,1,Base con fútbol,30.0,3,1,14.0,3,False,46.0,50.0,48.0,True
2026-04-12,2,Base con fútbol,34.0,3,0,16.0,3,False,48.0,52.0,50.0,True
2026-04-19,3,Base con fútbol,38.0,3,1,18.0,3,False,52.0,56.0,54.0,True
2026-04-26,4,Base con fútbol - descarga,28.0,3,1,14.0,3,False,42.0,46.0,44.0,True
2026-05-03,5,Base con fútbol,40.0,3,1,20.0,3,False,54.0,58.0,56.0,True
2026-05-10,6,Base con fútbol,42.0,3,1,22.0,3,False,56.0,60.0,58.0,True
2026-05-17,7,Base con fútbol,48.0,3,1,24.0,3,False,60.0,64.0,62.0,True
2026-05-24,8,Base con fútbol - descarga,34.0,3,0,18.0,3,False,48.0,52.0,50.0,True
2026-05-31,9,Construcción con fútbol,48.0,3,1,24.0,3,False,60.0,64.0,62.0,True
2026-06-07,10,Construcción con fútbol,48.0,3,1,26.0,3,False,62.0,66.0,64.0,True
2026-06-14,11,Construcción con fútbol,54.0,3,1,28.0,3,False,66.0,70.0,68.0,True
2026-06-21,12,Construcción con fútbol - descarga,40.0,3,0,22.0,3,False,54.0,58.0,56.0,True
2026-06-28,13,Construcción con fútbol,54.0,3,1,28.0,3,False,66.0,70.0,68.0,True
2026-07-05,14,Específica verano sin fútbol,66.0,6,2,24.0,0,True,66.0,66.0,66.0,False
2026-07-12,15,Específica verano sin fútbol,69.0,6,2,26.0,0,True,69.0,69.0,69.0,False
2026-07-19,16,Específica verano sin fútbol - descarga,56.0,6,2,20.0,0,True,56.0,56.0,56.0,False
2026-07-26,17,Específica verano sin fútbol,70.0,6,2,28.0,0,True,70.0,70.0,70.0,False
2026-08-02,18,Específica verano sin fútbol,66.0,6,3,24.0,0,True,66.0,66.0,66.0,False
2026-08-09,19,Específica verano sin fútbol,76.0,6,3,30.0,0,True,74.0,74.0,74.0,False
2026-08-16,20,Específica verano sin fútbol - descarga,60.0,6,2,24.0,0,True,60.0,60.0,60.0,False
2026-08-23,21,Específica verano sin fútbol - pico,76.0,6,3,32.0,0,True,76.0,76.0,76.0,False
2026-08-30,22,Específica verano sin fútbol,70.0,6,2,28.0,0,True,70.0,70.0,70.0,False
2026-09-06,23,Construcción específica con fútbol,48.0,3,1,26.0,3,False,62.0,66.0,64.0,True
2026-09-13,24,Construcción específica con fútbol,54.0,3,2,30.0,3,False,68.0,72.0,70.0,True
2026-09-20,25,Taper 1,42.0,3,1,24.0,3,False,54.0,58.0,56.0,True
2026-09-27,26,Taper 2,34.0,3,1,18.0,3,False,46.0,50.0,48.0,True
2026-10-04,27,Taper 3,25.5,3,1,12.0,3,False,34.0,40.0,37.0,True
2026-10-11,28,Semana de carrera,58.2,4,0,42.2,2,False,66.0,74.0,70.0,True
