date,sport,subtype,planned_vs_unplanned,duration,distance_km,pace_min_km,avg_hr,relative_effort,football_session_load,HIR_m,sprint_distance_m,accelerations,decelerations,source,data_confidence
2026-02-01,football,match,actual,,,,,,0.0,,,,,football_actual,actual
2026-02-03,football,training,actual,110.0,8.334,,,,1323.0,137.0,0.0,96.0,87.0,football_actual,actual
2026-02-05,football,training,actual,100.0,7.958,,,,1235.0,169.0,5.0,75.0,76.0,football_actual,actual
2026-02-08,football,match,actual,,,,,,0.0,,,,,football_actual,actual
2026-02-10,football,training,actual,110.0,8.318,,,,1379.0,119.0,0.0,118.0,96.0,football_actual,actual
2026-02-22,run,easy_run,actual,1.8666666666666667,0.4624,4.036908881199539,,,,,,,,strava,actual
2026-02-22,run,easy_run,actual,7.783333333333333,1.6785,4.637076755039221,,,,,,,,strava,actual
2026-02-24,football,training,actual,105.0,9.072,,,,1541.0,295.0,7.0,105.0,106.0,football_actual,actual
2026-02-26,football,training,actual,110.0,10.096,,,,1712.0,327.0,0.0,122.0,129.0,football_actual,actual
2026-03-01,football,match,actual,91.0,9.74,,,,1771.0,703.0,127.0,113.0,88.0,football_actual,actual
2026-03-05,football,training,actual,110.0,10.579,,,,1718.0,312.0,23.0,143.0,143.0,football_actual,actual
2026-03-06,run,easy_run,actual,33.65,7.0373,4.7816634220510705,,,,,,,,strava,actual
2026-03-08,football,match,actual,,,,,,0.0,,,,,football_actual,actual
2026-03-09,run,easy_run,actual,38.15,7.4954,5.08978840355418,149.0,27.0,,,,,,strava,actual
2026-03-10,football,training,actual,98.0,7.993,,,,1323.0,118.0,0.0,72.0,64.0,football_actual,actual
2026-03-11,run,easy_run,actual,38.7,8.0168,4.827362538668796,164.0,65.0,,,,,,strava,actual
2026-03-12,football,training,actual,115.0,8.984,,,,1368.0,314.0,46.0,92.0,96.0,football_actual,actual
2026-03-14,run,easy_run,actual,10.6,2.0425,5.189718482252142,,,,,,,,strava,actual
2026-03-15,football,match,actual,,,,,,0.0,,,,,football_actual,actual
2026-03-16,run,easy_run,actual,40.3,8.015,5.028072364316905,144.0,20.0,,,,,,strava,actual
2026-03-17,football,training,actual,115.0,7.83,,,,1248.0,166.0,6.0,97.0,88.0,football_actual,actual
2026-03-18,run,easy_run,actual,60.416666666666664,11.5036,5.251979090603521,153.0,61.0,,,,,,strava,actual
2026-03-19,football,training,actual,100.0,7.857,,,,1310.0,80.0,0.0,101.0,90.0,football_actual,actual
2026-03-22,football,match,actual,95.0,10.41,,,,1702.0,730.0,84.0,110.0,86.0,football_actual,actual
2026-03-23,run,easy_run,actual,45.31666666666667,8.4089,5.389131356856031,140.0,21.0,,,,,,strava,actual
2026-03-24,football,training,actual,110.0,8.671,,,,1398.0,128.0,0.0,97.0,88.0,football_actual,actual
2026-03-26,football,training,actual,115.0,3.309,,,,71.0,0.0,0.0,1.0,0.0,football_actual,actual
2026-03-29,football,match,actual,27.0,2.202,,,,327.0,122.0,0.0,31.0,33.0,football_actual,actual
2026-03-30,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-03-31,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-01,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-04-02,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-03,run,long_run,planned,,14.0,,,,,,,,,plan,plan
2026-04-04,run,rest,planned,,,,,,,,,,,plan,plan
2026-04-05,football,football,planned,,,,,,,,,,,plan,plan
2026-04-06,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-04-07,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-08,run,run,planned,,10.0,,,,,,,,,plan,plan
2026-04-09,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-10,run,long_run,planned,,16.0,,,,,,,,,plan,plan
2026-04-11,run,rest,planned,,,,,,,,,,,plan,plan
2026-04-12,football,football,planned,,,,,,,,,,,plan,plan
2026-04-13,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-04-14,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-15,run,quality_run,planned,,12.0,,,,,,,,,plan,plan
2026-04-16,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-17,run,long_run,planned,,18.0,,,,,,,,,plan,plan
2026-04-18,run,rest,planned,,,,,,,,,,,plan,plan
2026-04-19,football,football,planned,,,,,,,,,,,plan,plan
2026-04-20,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-04-21,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-22,run,quality_run,planned,,8.0,,,,,,,,,plan,plan
2026-04-23,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-24,run,long_run,planned,,14.0,,,,,,,,,plan,plan
2026-04-25,run,rest,planned,,,,,,,,,,,plan,plan
2026-04-26,football,football,planned,,,,,,,,,,,plan,plan
2026-04-27,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-04-28,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-04-29,run,quality_run,planned,,12.0,,,,,,,,,plan,plan
2026-04-30,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-01,run,long_run,planned,,20.0,,,,,,,,,plan,plan
2026-05-02,run,rest,planned,,,,,,,,,,,plan,plan
2026-05-03,football,football,planned,,,,,,,,,,,plan,plan
2026-05-04,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-05-05,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-06,run,quality_run,planned,,12.0,,,,,,,,,plan,plan
2026-05-07,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-08,run,long_run,planned,,22.0,,,,,,,,,plan,plan
2026-05-09,run,rest,planned,,,,,,,,,,,plan,plan
2026-05-10,football,football,planned,,,,,,,,,,,plan,plan
2026-05-11,run,run,planned,,10.0,,,,,,,,,plan,plan
2026-05-12,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-13,run,quality_run,planned,,14.0,,,,,,,,,plan,plan
2026-05-14,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-15,run,long_run,planned,,24.0,,,,,,,,,plan,plan
2026-05-16,run,rest,planned,,,,,,,,,,,plan,plan
2026-05-17,football,football,planned,,,,,,,,,,,plan,plan
2026-05-18,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-05-19,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-20,run,run,planned,,10.0,,,,,,,,,plan,plan
2026-05-21,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-22,run,long_run,planned,,18.0,,,,,,,,,plan,plan
2026-05-23,run,rest,planned,,,,,,,,,,,plan,plan
2026-05-24,football,football,planned,,,,,,,,,,,plan,plan
2026-05-25,run,run,planned,,10.0,,,,,,,,,plan,plan
2026-05-26,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-27,run,quality_run,planned,,14.0,,,,,,,,,plan,plan
2026-05-28,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-05-29,run,long_run,planned,,24.0,,,,,,,,,plan,plan
2026-05-30,run,rest,planned,,,,,,,,,,,plan,plan
2026-05-31,football,football,planned,,,,,,,,,,,plan,plan
2026-06-01,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-06-02,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-06-03,run,quality_run,planned,,14.0,,,,,,,,,plan,plan
2026-06-04,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-06-05,run,long_run,planned,,26.0,,,,,,,,,plan,plan
2026-06-06,run,rest,planned,,,,,,,,,,,plan,plan
2026-06-07,football,football,planned,,,,,,,,,,,plan,plan
2026-06-08,run,run,planned,,10.0,,,,,,,,,plan,plan
2026-06-09,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-06-10,run,quality_run,planned,,16.0,,,,,,,,,plan,plan
2026-06-11,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-06-12,run,long_run,planned,,28.0,,,,,,,,,plan,plan
2026-06-13,run,rest,planned,,,,,,,,,,,plan,plan
2026-06-14,football,football,planned,,,,,,,,,,,plan,plan
2026-06-15,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-06-16,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-06-17,run,run,planned,,12.0,,,,,,,,,plan,plan
2026-06-18,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-06-19,run,long_run,planned,,22.0,,,,,,,,,plan,plan
2026-06-20,run,rest,planned,,,,,,,,,,,plan,plan
2026-06-21,football,football,planned,,,,,,,,,,,plan,plan
