week,target_weekly_km_min,target_weekly_km_max,target_long_run_km_min,target_long_run_km_max
2026-04-05,16.2,19.8,9.5,13.5
2026-04-12,17.2,21.0,10.1,14.1
2026-04-19,18.2,22.2,10.7,14.7
2026-04-26,19.3,23.6,11.3,15.3
2026-05-03,17.0,20.8,10.0,14.0
2026-05-10,18.0,22.0,10.6,14.6
2026-05-17,19.1,23.3,11.2,15.2
2026-05-24,20.2,24.7,11.9,15.9
2026-05-31,17.8,21.8,10.5,14.5
2026-06-07,18.9,23.1,11.1,15.1
2026-06-14,20.0,24.4,11.8,15.8
2026-06-21,21.2,25.9,12.5,16.5
2026-06-28,18.7,22.8,11.0,15.0
2026-07-05,19.8,24.2,11.7,15.7
2026-07-12,21.0,25.6,12.3,16.3
2026-07-19,22.2,27.2,13.1,17.1
2026-07-26,19.5,23.9,11.6,15.6
2026-08-02,20.7,25.3,12.2,16.2
2026-08-09,22.0,26.8,12.9,16.9
2026-08-16,23.3,28.5,13.7,17.7
2026-08-23,20.5,25.0,12.1,16.1
2026-08-30,21.7,26.5,12.8,16.8
2026-09-06,23.0,28.1,13.6,17.6
2026-09-13,24.4,29.8,14.3,18.3
2026-09-20,21.5,26.2,12.7,16.7
2026-09-27,22.8,27.8,13.4,17.4
