week,semana_plan,fase,plan_run_km,plan_football_days,plan_quality_days,vol_objetivo_min,vol_objetivo_max,plan_vol_objetivo_km
2026-04-05,1,Base con fútbol,30.0,3,0,46.0,50.0,48.0
2026-04-12,2,Base con fútbol,34.0,3,0,48.0,52.0,50.0
2026-04-19,3,Base con fútbol,38.0,3,1,52.0,56.0,54.0
2026-04-26,4,Base con fútbol - descarga,28.0,3,1,42.0,46.0,44.0
2026-05-03,5,Base con fútbol,40.0,3,1,54.0,58.0,56.0
2026-05-10,6,Base con fútbol,42.0,3,1,56.0,60.0,58.0
2026-05-17,7,Base con fútbol,48.0,3,0,60.0,64.0,62.0
2026-05-24,8,Base con fútbol - descarga,34.0,3,0,48.0,52.0,50.0
2026-05-31,9,Construcción con fútbol,48.0,3,1,60.0,64.0,62.0
2026-06-07,10,Construcción con fútbol,48.0,3,1,62.0,66.0,64.0
2026-06-14,11,Construcción con fútbol,54.0,3,1,66.0,70.0,68.0
2026-06-21,12,Construcción con fútbol - descarga,40.0,3,0,54.0,58.0,56.0
2026-06-28,13,Construcción con fútbol,54.0,3,1,66.0,70.0,68.0
2026-07-05,14,Específica verano sin fútbol,66.0,0,2,66.0,66.0,66.0
2026-07-12,15,Específica verano sin fútbol,69.0,0,2,69.0,69.0,69.0
2026-07-19,16,Específica verano sin fútbol - descarga,56.0,0,2,56.0,56.0,56.0
2026-07-26,17,Específica verano sin fútbol,70.0,0,2,70.0,70.0,70.0
2026-08-02,18,Específica verano sin fútbol,66.0,0,3,66.0,66.0,66.0
2026-08-09,19,Específica verano sin fútbol,76.0,0,3,74.0,74.0,74.0
2026-08-16,20,Específica verano sin fútbol - descarga,60.0,0,2,60.0,60.0,60.0
2026-08-23,21,Específica verano sin fútbol - pico,76.0,0,3,76.0,76.0,76.0
2026-08-30,22,Específica verano sin fútbol,70.0,0,2,70.0,70.0,70.0
2026-09-06,23,Construcción específica con fútbol,48.0,3,1,62.0,66.0,64.0
2026-09-13,24,Construcción específica con fútbol,54.0,3,2,68.0,72.0,70.0
2026-09-20,25,Taper 1,42.0,3,1,54.0,58.0,56.0
2026-09-27,26,Taper 2,34.0,3,1,46.0,50.0,48.0
2026-10-04,27,Taper 3,25.5,3,1,34.0,40.0,37.0
2026-10-11,28,Semana de carrera,53.2,2,0,66.0,74.0,70.0
