week,fase,plan_run_km,run_dist_km,run_adherence_pct,run_km_gap,planned_run_sessions,run_sessions,planned_long_run_km,longest_run_km,planned_quality_sessions,actual_quality_sessions,expected_football_week,football_actual_available,football_estimated,football_status,plan_compliance_score
2026-02-01,,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0,,True,False,not_expected,100.0
2026-02-08,,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0,,True,False,not_expected,100.0
2026-02-15,,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0,,True,False,not_expected,100.0
2026-02-22,,0.0,2.1409000000000002,,2.1409000000000002,0.0,2,0.0,1.6785,0.0,0,,False,False,not_expected,100.0
2026-03-01,,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0,,True,False,not_expected,100.0
2026-03-08,,0.0,7.0373,,7.0373,0.0,1,0.0,7.0373,0.0,0,,True,False,not_expected,100.0
2026-03-15,,0.0,17.5547,,17.5547,0.0,3,0.0,8.0168,0.0,0,,True,False,not_expected,100.0
2026-03-22,,0.0,19.5186,,19.5186,0.0,2,0.0,11.5036,0.0,0,,True,False,not_expected,100.0
2026-03-29,,0.0,8.4089,,8.4089,0.0,1,0.0,8.4089,0.0,0,,True,False,not_expected,100.0
2026-04-05,Base con fútbol,30.0,19.9872,66.62400000000001,-10.012799999999999,3.0,2,14.0,10.0055,1.0,1,True,False,True,estimated,72.84989761904762
