week,target_weekly_km_min,target_weekly_km_max,target_long_run_km_min,target_long_run_km_max
2026-05-10,17.9,21.9,19.2,23.2
2026-05-17,18.8,22.9,20.0,24.0
2026-05-24,19.7,24.1,20.9,24.9
2026-05-31,20.7,25.3,21.8,25.8
2026-06-07,18.6,22.8,19.5,23.5
2026-06-14,19.6,23.9,20.3,24.3
2026-06-21,20.5,25.1,21.2,25.2
2026-06-28,21.6,26.4,22.1,26.1
2026-07-05,19.4,23.7,19.7,23.7
2026-07-12,20.4,24.9,20.6,24.6
2026-07-19,21.4,26.2,21.5,25.5
2026-07-26,22.5,27.5,22.4,26.4
2026-08-02,20.2,24.7,20.0,24.0
2026-08-09,21.2,26.0,20.9,24.9
2026-08-16,22.3,27.2,21.8,25.8
2026-08-23,23.4,28.6,22.7,26.7
2026-08-30,21.1,25.7,20.3,24.3
2026-09-06,22.1,27.0,21.2,25.2
2026-09-13,23.2,28.4,22.1,26.1
2026-09-20,24.4,29.8,23.0,27.0
2026-09-27,22.0,26.8,20.5,24.5
