week,semana_plan,fase,plan_run_km,planned_run_sessions,planned_quality_sessions,planned_long_run_km,plan_football_days,phase_summer_running_only,plan_vol_objetivo_km,expected_football_week,run_sessions,run_dist_km,run_time_h,run_avg_pace,longest_run_km,run_avg_hr,actual_quality_sessions,fb_sessions_actual,fb_minutes_actual,fb_load_actual,fb_dist_km,fb_hir_km,fb_sprint_km,fb_accelerations,fb_decelerations,fb_sprints,fb_top_speed,fb_match_sessions,fb_training_sessions,football_actual_available,fb_data_available,football_estimated,football_status,fb_sessions,fb_minutes,fb_load,football_load_bucket,football_unknown,rolling_4w_km,rolling_8w_km,longest_last_4w,longest_last_8w,weeks_2plus_runs,consistency_score,run_adherence_pct,run_km_gap,planned_vs_actual_runs_gap,long_run_completed,quality_completed,frequency_completed,plan_compliance_score,completion_label,combined_normalized_load,hybrid_fatigue_score,fatigue_status,weeks_football_forced_downscale
2026-02-01,,,0.0,0.0,0.0,0.0,,,,,0,0.0,,,0.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,0.0,0.0,0.0,0.0,0,100.0,,0.0,0.0,False,True,True,100.0,on-plan,0.0,40.0,low,0
2026-02-08,,,0.0,0.0,0.0,0.0,,,,,0,0.0,,,0.0,,0,3.0,210.0,2558.0,16.292,0.306,0.005,171.0,163.0,1.0,25.4,1.0,2.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,0.0,0.0,0.0,0.0,0,100.0,,0.0,0.0,False,True,True,100.0,on-plan,0.0,40.0,low,0
2026-02-15,,,0.0,0.0,0.0,0.0,,,,,0,0.0,,,0.0,,0,1.0,110.0,1379.0,8.318,0.119,0.0,118.0,96.0,0.0,23.6,0.0,1.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,0.0,0.0,0.0,0.0,0,100.0,,0.0,0.0,False,True,True,100.0,on-plan,0.0,40.0,low,0
2026-02-22,,,0.0,0.0,0.0,0.0,,,,,2,2.1409000000000002,0.16083333333333333,4.33699281811938,1.6785,,0,,,,,,,,,,,0.0,0.0,False,False,False,not_expected,0.0,0.0,0.0,low,False,2.1409000000000002,2.1409000000000002,1.6785,1.6785,1,100.0,,2.1409000000000002,2.0,False,True,True,100.0,on-plan,25.690800000000003,100.0,high,0
2026-03-01,,,0.0,0.0,0.0,0.0,,,,,0,0.0,,,0.0,,0,3.0,306.0,5024.0,28.908,1.325,0.134,340.0,323.0,9.0,29.8,1.0,2.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,2.1409000000000002,2.1409000000000002,1.6785,1.6785,0,100.0,,0.0,0.0,False,True,True,100.0,on-plan,0.0,0.0,low,0
2026-03-08,,,0.0,0.0,0.0,0.0,,,,,1,7.0373,0.5608333333333333,4.7816634220510705,7.0373,,0,2.0,110.0,1718.0,10.579,0.312,0.023,143.0,143.0,4.0,27.5,1.0,1.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,9.1782,9.1782,7.0373,7.0373,0,100.0,,7.0373,1.0,False,True,True,100.0,on-plan,84.4476,100.0,high,0
2026-03-15,,,0.0,0.0,0.0,0.0,,,,,3,17.5547,1.4575,5.035623141491706,8.0168,156.6,0,3.0,213.0,2691.0,16.977,0.432,0.046,164.0,160.0,7.0,29.6,1.0,2.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,26.7329,26.7329,8.0168,8.0168,1,100.0,,17.5547,3.0,False,True,True,100.0,on-plan,210.65640000000002,100.0,high,0
2026-03-22,,,0.0,0.0,0.0,0.0,,,,,2,19.5186,1.678611111111111,5.140025727460213,11.5036,148.3,0,3.0,310.0,4260.0,26.097,0.976,0.09,308.0,264.0,10.0,29.9,1.0,2.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,44.1106,46.2515,11.5036,11.5036,1,100.0,,19.5186,2.0,False,True,True,100.0,on-plan,234.2232,90.04799299941511,high,0
2026-03-29,,,0.0,0.0,0.0,0.0,,,,,1,8.4089,0.7552777777777778,5.389131356856031,8.4089,140.2,0,3.0,252.0,1796.0,14.182,0.25,0.0,129.0,121.0,0.0,24.9,1.0,2.0,True,True,False,not_expected,0.0,0.0,0.0,low,False,52.519499999999994,54.660399999999996,11.5036,11.5036,0,100.0,,8.4089,1.0,False,True,True,100.0,on-plan,100.90679999999999,16.628614133797928,low,0
2026-04-05,1.0,Base con fútbol,30.0,3.0,1.0,14.0,3.0,False,48.0,True,2,19.9872,1.6683333333333332,5.007151894122859,10.0055,161.75,1,,,,,,,,,,,1.0,2.0,False,False,True,estimated,3.0,211.5,2177.0,high,False,65.4694,74.6476,11.5036,11.5036,1,100.0,66.62400000000001,-10.012799999999999,-1.0,False,True,False,72.84989761904762,under-completed,1001.7964,100.0,high,1
