Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
12745804274,"Oct 26, 2024, 5:41:20 AM",Light late morning run,Run,,1321,5.00,,,false,,,activities/12745804274.gpx,,,1321.0,1321.0,5001.4,11.72,3.786,12.7,12.7,15.0,20.2,4.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5013.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.786,0.0,,,,3412.0,,,,,3.795,,,,,,,,,,,,""
16892893687,"Dec 31, 2025, 11:00:08 AM",San Silvestre Alcobendas,Run,"",2581,10.06,,,false,,,activities/16892893687.gpx,,,2581.0,2581.0,10064.2,5.42,3.899,111.4,115.6,670.1,722.3,10.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.899,632.4,,,,6806.0,0.0,,,,3.96,,,0.0,,,,,,,,,media/89E2ED90-C730-4768-BADD-0F4DB0CEAB4B.jpg
16920458530,"Jan 3, 2026, 9:12:34 AM",Morning Alpine Ski,Alpine Ski,"",782,2.46,,,false,,,activities/16920458530.gpx,,,782.0,605.0,2465.9,15.9,4.076,86.2,266.8,2070.8,2339.1,32.6,-7.0,,,,,,,,,,,,,,1,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.153,1640.5,,,,,0.0,,,,,,138.0,,,,,,,,,,""
17479332939,"Feb 22, 2026, 6:41:39 AM",Morning Run,Run,"",121,0.46,,,false,,,activities/17479332939.gpx,,,121.0,112.0,462.4,6.76,4.129,3.2,9.7,637.4,647.9,4.8,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,456.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.821,0.0,,,,296.0,0.0,,,,4.072,,,,,,,,,,,,""
17479356607,"Feb 22, 2026, 6:44:20 AM",All-Nighter: Return home,Run,"",470,1.67,,,false,,,activities/17479356607.gpx,,,470.0,467.0,1678.5,6.24,3.594,18.1,0.0,635.6,654.4,5.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1731.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.571,798.9,,,,1198.0,0.0,,,,3.708,,,,,,,,,,,,""
17627983350,"Mar 6, 2026, 6:47:29 PM",Evening Run,Run,"",2023,7.03,,,false,,,activities/17627983350.gpx,,,2023.0,2019.0,7037.3,7.5,3.486,11.4,11.4,14.8,19.5,3.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7050.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.479,381.9,,,,5046.0,0.0,,,,3.492,,,,,,,,,,,,""
17663527428,"Mar 9, 2026, 6:00:43 PM",Evening Run,Run,,2289,7.49,162.0,27,false,,,activities/18761877619.fit.gz,,,2289.0,2289.0,7495.4,7.522,3.275,4.1,5.9,15.1,19.1,2.5,0.0,,,80.0,77.0,162.0,149.0,,,573.0,,,27.0,,,,,,,,,,,,,0.0,,1.0,7499.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.275,21.7,,,,5870.0,0.0,,,,3.276,,,,,,,,,,,,""
17683371210,"Mar 11, 2026, 10:11:41 AM",Lunch Run,Run,,2325,8.01,178.0,65,false,,,activities/18781795055.fit.gz,,,2325.0,2322.0,8016.8,5.057,3.453,0.0,2.6,17.8,20.5,10.0,0.0,,,82.0,78.0,178.0,164.0,,,626.0,,,65.0,,,,,,,,,,,,,0.0,,1.0,8019.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.448,0.0,,,,5982.0,0.0,,,,3.454,,,,,,,,,,,,""
17714768495,"Mar 14, 2026, 4:37:59 AM",Vuelta club,Run,"",636,2.04,,,false,,,activities/17714768495.gpx,,,636.0,636.0,2042.5,5.04,3.211,8.0,4.7,2.1,6.9,3.4,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2052.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.211,0.0,,,,,0.0,,,,3.227,,,,,,,,,,,,""
17743902068,"Mar 16, 2026, 4:02:36 PM",Afternoon Run,Run,,2418,8.01,162.0,20,false,,,activities/18842758358.fit.gz,,,2418.0,2418.0,8015.0,6.26,3.315,6.9,7.2,15.0,19.2,3.6,0.0,,,82.0,78.0,162.0,144.0,,,573.0,,,20.0,,,,,,,,,,,,,0.0,,1.0,8024.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.315,1453.9,,,,6266.0,0.0,,,,3.319,,,,,,,,,,,,""
